Headlines,Fecha
"268. González-Bueno: ""No se puede decir que vamos a competir con JP Morgan porque se unan BBVA y Sabadell""",2025-09-22
269. BBVA asume que la opa será ahora menos rentable para sus propios accionistas,2025-09-22
"270. Sabadell dice que la opa de BBVA sigue siendo ""muy débil"" tras subir ""poco"" el precio",2025-09-22
271. El Ibex mira hacia los 15.300 puntos con la vista puesta en BBVA y Sabadell,2025-09-22
272. BBVA modifica su oferta por Sabadell,2025-09-22
"273. La Primera de Expansión sobre Iberdrola, BBVA, Ebro Foods, TikTok, Musk, Palestina y LVMH",2025-09-22
"274. Deutsche, BBVA e Ibercaja pelean en los tribunales por multas millonarias",2025-09-22
"275. BNP: ""El temor a las altas valoraciones de la banca es infundado""",2025-09-22
276. BBVA: otra semana de 'road show' con accionistas de Sabadell,2025-09-22
277. BBVA decide esta semana si mejora la oferta por Sabadell o amplía el plazo,2025-09-22
278. BBVA tiene hasta el martes para mejorar su oferta por Sabadell,2025-09-21
279. Sabadell alerta: las acciones que se den a BBVA estarán bloqueadas un mes,2025-09-20
"280. Lecciones de Endesa para la opa de BBVA sobre Sabadell, 20 años después",2025-09-20
"281. La acción de Sabadell acelera y amplía la prima negativa al 7,61%",2025-09-20
282. Sabadell asegura que ningún cliente con acciones ha acudido a la opa de BBVA,2025-09-19
"283. La Primera de Expansión sobre el Atlético de Madrid, Apollo, BBVA, Hacienda, Urbaser e Iberdrola",2025-09-19
284. La opa de BBVA sobre Sabadell es ya la cuarta más larga de Europa,2025-09-19
285. Sabadell es el banco que más cae en Bolsa en la fase de aceptación de la opa,2025-09-19
286. Los fondos americanos suben posiciones en Sabadell,2025-09-19
287. Bruselas concede a España la prórroga para responder al expediente por la opa de BBVA,2025-09-18
"288. UBS nombra presidente de banca global a Javier Oficialdegui, quien regresa a España",2025-09-18
"289. La Primera de Expansión sobre Fed, BBVA, Huawei, Meta, Google y Jimmi Kimmel",2025-09-18
290. La posibilidad de una segunda opa a Sabadell lleva a la prima negativa a niveles de mayo,2025-09-18
291. BBVA da marcha atrás a su plan de reducir el consejo de Sabadell,2025-09-18
292. Sabadell retrasa las sinergias hasta cinco años más que BBVA,2025-09-18
293. Las vías judiciales en curso tardarán años en resolverse,2025-09-18
294. El Ibex cierra con suaves recortes y espera a la Fed en los 15.100 puntos,2025-09-17
295. La prima negativa de la opa BBVA-Sabadell se sitúa por debajo del 6% mientras los analistas mueven ficha,2025-09-17
"296. La Primera de Expansión sobre BBVA, Sabadell, Job&Talent, la FED y TikTok",2025-09-17
297. BBVA y Sabadell frente a frente: uno defiende la banca global y el otro la local,2025-09-17
298. Sabadell no tratará de comprar otro banco si fracasa la opa,2025-09-17
299. BBVA confía en fusionar Sabadell en 2028 pese a las trabas del Gobierno,2025-09-17
300. El Gobierno pide prórroga a la UE para argumentar las trabas,2025-09-17
301. Oliu y Torres disputan si el precio de la opa es mejor o peor que en mayo de 2024,2025-09-17
"302. González-Bueno: BBVA tiene probabilidades ""muy bajas"" de superar el 50% de Sabadell",2025-09-16
303. La recogida de beneficios antes de la Fed se lleva los 15.200 puntos del Ibex,2025-09-16
304. Deutsche Bank pone precio a Sabadell en plena opa,2025-09-16
"305. La Primera de Expansión sobre BBVA, Airbus, Indra, Volkswagen, Milei, Tesla y Eurovisión",2025-09-16
306. BBVA-Sabadell: la CNMV decidirá el precio si hay una segunda opa,2025-09-16
307. ¿Cuánto vale realmente Sabadell?,2025-09-16
"308. BBVA infravalora a Sabadell al menos de tres formas, según su consejo",2025-09-16
"309. Oliu: ""BBVA usa la estrategia del miedo; la acción de Sabadell no se derrumbará si fracasa la opa""",2025-09-15
310. La CNMV dice que BBVA tendría un mes para lanzar una segunda opa por Sabadell,2025-09-15
"311. La Primera de Expansión sobre Sabadell, BBVA, Iberdrola, Xiaomi, TikTok y la Fed",2025-09-15
312. BBVA: intensa agenda de citas con los accionistas en la segunda semana de la opa,2025-09-15
"313. Josep Oliu: ""Con una prima del 30%, el consejo sí se plantearía en serio qué hacer""",2025-09-15
"314. Josep Oliu: ""El negocio puede resentirse si BBVA es accionista pero no controla el banco""",2025-09-15
315. BBVA tiene el mayor colchón para pagar dividendos desde la venta millonaria de EEUU,2025-09-15
316. Donald Trump revoluciona el M&A al imponer su 'capitalismo de Estado' a Wall Street,2025-09-15
"317. Oliu (Sabadell): la probabilidad de éxito de la opa es ""cercana a cero""",2025-09-14
318. Bancos en el foco en plena ola de movimientos en el sector,2025-09-13
319. Bancos europeos con gancho para invertir,2025-09-13
"320. La prima negativa, congelada a la espera de si Torres mueve ficha",2025-09-13
"321. Carlos Torres: ""Nos encantará contar con el equipo directivo de Sabadell""",2025-09-13
"322. Carlos Torres: ""La oferta sobre Sabadell es muy atractiva y no hay razón para cambiarla""",2025-09-13
"323. BBVA, a los accionistas de Sabadell: ""Esto es un portaviones""",2025-09-12
"324. Oliu: ""Todo tiene un precio. Si BBVA hace una buena oferta por Sabadell, la contemplaríamos""",2025-09-12
"325. Sabadell avisa sobre sinergias ""dudosas"" y una posible ampliación de capital de BBVA",2025-09-12
